TUL,TUL @ IND,09/23/2012,L,40,58,18,56,32.1,8,23,34.8,14,22,63.6,5,16,21,11,18,11,3,24,-33,
IND,IND vs. TUL,09/23/2012,W,40,91,30,57,52.6,7,15,46.7,24,28,85.7,10,28,38,18,17,12,2,17,33,
ATL,ATL @ CON,09/23/2012,L,40,72,29,71,40.8,1,14,7.1,13,19,68.4,9,27,36,14,19,13,3,18,-20,
MIN,MIN @ SAN,09/23/2012,L,40,84,29,66,43.9,12,28,42.9,14,17,82.4,7,22,29,18,11,4,6,22,-15,
SEA,SEA @ PHO,09/23/2012,W,40,71,25,60,41.7,7,23,30.4,14,17,82.4,6,33,39,12,20,8,4,11,14,
SAN,SAN vs. MIN,09/23/2012,W,40,99,32,68,47.1,13,21,61.9,22,23,95.7,7,24,31,24,8,5,1,15,15,
CON,CON vs. ATL,09/23/2012,W,40,92,36,71,50.7,4,9,44.4,16,18,88.9,5,30,35,21,15,14,0,19,20,
PHO,PHO vs. SEA,09/23/2012,L,40,57,22,77,28.6,5,22,22.7,8,12,66.7,13,23,36,15,13,7,5,16,-14,
TUL,TUL @ NYL,09/22/2012,L,40,74,28,72,38.9,9,29,31.0,9,19,47.4,7,19,26,20,9,10,4,23,-17,
WAS,WAS @ CHI,09/22/2012,L,40,58,22,65,33.8,4,11,36.4,10,12,83.3,10,14,24,14,15,8,7,17,-19,
CHI,CHI vs. WAS,09/22/2012,W,40,77,26,61,42.6,4,11,36.4,21,28,75.0,13,28,41,16,17,5,5,12,19,
NYL,NYL vs. TUL,09/22/2012,W,40,91,31,67,46.3,7,14,50.0,22,26,84.6,12,32,44,18,17,6,4,12,17,
MIN,MIN @ PHO,09/21/2012,W,40,89,33,76,43.4,10,22,45.5,13,17,76.5,12,29,41,24,15,8,7,15,23,
SEA,SEA vs. SAN,09/21/2012,W,40,84,30,64,46.9,8,23,34.8,16,20,80.0,8,28,36,19,12,5,5,15,9,
PHO,PHO vs. MIN,09/21/2012,L,40,66,25,69,36.2,3,15,20.0,13,17,76.5,12,23,35,13,19,6,2,22,-23,
WAS,WAS vs. IND,09/21/2012,L,40,53,22,65,33.8,4,21,19.0,5,7,71.4,6,24,30,15,15,10,6,21,-13,
SAN,SAN @ SEA,09/21/2012,L,40,75,27,74,36.5,7,26,26.9,14,15,93.3,15,24,39,16,10,10,2,19,-9,
IND,IND @ WAS,09/21/2012,W,40,66,23,65,35.4,4,12,33.3,16,20,80.0,10,33,43,13,18,12,2,11,13,
MIN,MIN @ LAS,09/20/2012,L,40,76,23,66,34.8,6,27,22.2,24,29,82.8,12,25,37,16,17,9,4,19,-16,
TUL,TUL vs. NYL,09/20/2012,W,40,78,29,64,45.3,14,30,46.7,6,9,66.7,5,21,26,14,14,10,3,10,12,
CHI,CHI vs. ATL,09/20/2012,L,40,66,25,70,35.7,6,15,40.0,10,11,90.9,10,20,30,13,13,7,2,18,-9,
LAS,LAS vs. MIN,09/20/2012,W,40,92,37,69,53.6,3,10,30.0,15,19,78.9,6,27,33,23,16,13,4,25,16,
NYL,NYL @ TUL,09/20/2012,L,40,66,28,66,42.4,5,17,29.4,5,7,71.4,9,29,38,17,22,7,3,17,-12,
ATL,ATL @ CHI,09/20/2012,W,40,75,31,62,50.0,3,10,30.0,10,13,76.9,6,25,31,26,16,6,5,17,9,
CON,CON vs. IND,09/19/2012,W,40,73,28,59,47.5,7,19,36.8,10,11,90.9,9,23,32,16,18,5,5,14,6,
IND,IND @ CON,09/19/2012,L,40,67,25,70,35.7,6,23,26.1,11,12,91.7,16,16,32,11,12,12,0,14,-6,
PHO,PHO @ LAS,09/18/2012,L,40,76,30,72,41.7,6,23,26.1,10,12,83.3,13,23,36,19,19,5,2,18,-25,
LAS,LAS vs. PHO,09/18/2012,W,40,101,39,76,51.3,9,13,69.2,14,20,70.0,14,24,38,25,11,12,7,12,25,
NYL,NYL @ SAN,09/18/2012,L,40,66,31,74,41.9,3,16,18.8,1,2,50.0,12,23,35,14,15,8,5,14,-11,
CHI,CHI @ SEA,09/18/2012,L,40,60,23,71,32.4,6,29,20.7,8,13,61.5,8,17,25,8,6,10,2,18,-15,
