LAS,LAS vs. CON,08/25/2019,W,40,84,31,64,48.4,9,24,37.5,13,13,100,3,23,26,19,14,7,2,19,12,
LVA,LVA @ MIN,08/25/2019,L,40,77,29,69,42.0,5,15,33.3,14,17,82.4,8,19,27,20,16,5,1,17,-21,
PHO,PHO vs. CHI,08/25/2019,L,40,86,29,67,43.3,4,18,22.2,24,27,88.9,5,29,34,19,11,6,5,20,-8,
IND,IND @ SEA,08/25/2019,W,40,63,23,59,39.0,2,10,20.0,15,20,75.0,10,32,42,14,16,10,2,14,9,
NYL,NYL @ WAS,08/25/2019,L,40,72,27,72,37.5,8,19,42.1,10,12,83.3,7,22,29,21,12,6,2,15,-29,
CHI,CHI @ PHO,08/25/2019,W,40,94,35,84,41.7,6,23,26.1,18,22,81.8,15,32,47,21,8,7,3,24,8,
MIN,MIN vs. LVA,08/25/2019,W,40,98,40,68,58.8,6,15,40.0,12,13,92.3,6,23,29,27,11,7,7,21,21,
ATL,ATL @ DAL,08/25/2019,W,40,77,26,56,46.4,2,11,18.2,23,27,85.2,5,26,31,15,15,6,6,20,4,
CON,CON @ LAS,08/25/2019,L,40,72,28,68,41.2,8,22,36.4,8,13,61.5,10,23,33,15,16,10,0,21,-12,
DAL,DAL vs. ATL,08/25/2019,L,40,73,25,72,34.7,4,13,30.8,19,23,82.6,16,22,38,8,13,6,1,25,-4,
SEA,SEA vs. IND,08/25/2019,L,40,54,18,63,28.6,5,22,22.7,13,14,92.9,12,21,33,11,16,12,4,14,-9,
WAS,WAS vs. NYL,08/25/2019,W,40,101,39,74,52.7,12,29,41.4,11,11,100,9,32,41,30,14,4,7,12,29,
NYL,NYL vs. ATL,08/23/2019,L,40,87,32,75,42.7,7,18,38.9,16,25,64.0,10,28,38,28,12,5,4,27,-3,
CON,CON vs. LVA,08/23/2019,W,40,89,34,71,47.9,5,15,33.3,16,21,76.2,7,30,37,25,10,6,10,17,4,
CHI,CHI vs. WAS,08/23/2019,W,40,85,32,70,45.7,6,18,33.3,15,18,83.3,8,32,40,22,17,8,2,21,7,
WAS,WAS @ CHI,08/23/2019,L,40,78,26,73,35.6,8,29,27.6,18,22,81.8,8,22,30,18,16,9,6,20,-7,
LVA,LVA @ CON,08/23/2019,L,40,85,32,71,45.1,2,13,15.4,19,22,86.4,4,29,33,25,10,7,4,15,-4,
ATL,ATL @ NYL,08/23/2019,W,40,90,30,73,41.1,8,22,36.4,22,30,73.3,8,24,32,19,11,5,3,21,3,
DAL,DAL @ MIN,08/22/2019,L,40,70,25,59,42.4,6,17,35.3,14,17,82.4,3,22,25,14,17,6,3,23,-16,
MIN,MIN vs. DAL,08/22/2019,W,40,86,32,67,47.8,5,12,41.7,17,21,81.0,9,26,35,23,12,9,4,16,16,
LAS,LAS vs. IND,08/22/2019,W,40,98,38,76,50.0,6,20,30.0,16,23,69.6,10,31,41,27,13,10,4,18,33,
IND,IND @ LAS,08/22/2019,L,40,65,23,60,38.3,6,17,35.3,13,19,68.4,1,26,27,18,21,9,6,22,-33,
ATL,ATL vs. CHI,08/20/2019,L,40,83,31,74,41.9,8,22,36.4,13,18,72.2,7,20,27,17,14,8,7,18,-4,
PHO,PHO @ LVA,08/20/2019,L,45,79,31,83,37.3,7,30,23.3,10,10,100,4,35,39,22,10,5,8,21,-5,
IND,IND vs. NYL,08/20/2019,L,40,76,27,74,36.5,5,15,33.3,17,21,81.0,12,26,38,20,8,3,4,18,-6,
LAS,LAS vs. MIN,08/20/2019,W,40,81,29,60,48.3,7,19,36.8,16,20,80.0,7,26,33,14,17,10,1,15,10,
NYL,NYL @ IND,08/20/2019,W,40,82,28,70,40.0,9,21,42.9,17,18,94.4,10,30,40,20,15,3,7,20,6,
LVA,LVA vs. PHO,08/20/2019,W,45,84,31,84,36.9,6,14,42.9,16,22,72.7,10,40,50,24,12,4,6,19,5,
MIN,MIN @ LAS,08/20/2019,L,40,71,29,67,43.3,8,31,25.8,5,10,50.0,4,23,27,15,17,10,3,16,-10,
CHI,CHI @ ATL,08/20/2019,W,40,87,33,72,45.8,5,18,27.8,16,21,76.2,8,28,36,21,15,5,9,18,4,
SEA,SEA vs. MIN,08/18/2019,W,40,82,31,60,51.7,8,20,40.0,12,13,92.3,10,18,28,21,19,11,3,18,8,
LVA,LVA @ CHI,08/18/2019,W,40,100,35,70,50.0,4,12,33.3,26,30,86.7,10,33,43,15,13,2,5,25,15,
DAL,DAL @ CON,08/18/2019,L,40,68,22,59,37.3,8,23,34.8,16,23,69.6,8,21,29,15,12,5,5,14,-10,
MIN,MIN @ SEA,08/18/2019,L,40,74,31,61,50.8,4,6,66.7,8,9,88.9,7,15,22,24,19,7,2,12,-8,
IND,IND @ WAS,08/18/2019,L,40,68,25,63,39.7,3,15,20.0,15,18,83.3,5,23,28,15,13,2,2,17,-39,
NYL,NYL @ PHO,08/18/2019,L,40,72,28,73,38.4,3,15,20.0,13,13,100,13,27,40,24,13,4,3,28,-6,
CHI,CHI vs. LVA,08/18/2019,L,40,85,26,76,34.2,9,32,28.1,24,31,77.4,11,22,33,18,7,3,4,25,-15,
PHO,PHO vs. NYL,08/18/2019,W,40,78,22,63,34.9,9,24,37.5,25,28,89.3,5,27,32,8,13,3,3,16,6,
CON,CON vs. DAL,08/18/2019,W,40,78,30,64,46.9,6,17,35.3,12,14,85.7,9,28,37,20,16,5,2,17,10,
WAS,WAS vs. IND,08/18/2019,W,40,107,37,76,48.7,18,39,46.2,15,15,100,9,26,35,30,6,7,4,17,39,
NYL,NYL @ DAL,08/16/2019,L,40,77,26,62,41.9,4,14,28.6,21,26,80.8,15,20,35,17,17,3,0,26,-6,
SEA,SEA @ CON,08/16/2019,L,40,78,31,61,50.8,4,20,20.0,12,17,70.6,8,27,35,19,27,9,6,16,-1,
DAL,DAL vs. NYL,08/16/2019,W,40,83,25,62,40.3,6,20,30.0,27,29,93.1,13,18,31,15,14,11,3,26,6,
CHI,CHI vs. LAS,08/16/2019,W,40,91,32,67,47.8,12,28,42.9,15,17,88.2,11,27,38,21,18,5,5,21,10,
MIN,MIN vs. WAS,08/16/2019,L,40,79,27,60,45.0,5,18,27.8,20,21,95.2,6,29,35,19,19,5,4,20,-7,
CON,CON vs. SEA,08/16/2019,W,40,79,29,74,39.2,7,24,29.2,14,19,73.7,10,20,30,20,16,19,4,17,1,
PHO,PHO vs. ATL,08/16/2019,W,40,77,27,64,42.2,9,23,39.1,14,17,82.4,9,29,38,19,15,5,4,16,9,
WAS,WAS @ MIN,08/16/2019,W,40,86,29,64,45.3,12,26,46.2,16,20,80.0,3,20,23,20,13,11,3,17,7,
LAS,LAS @ CHI,08/16/2019,L,40,81,30,71,42.3,4,17,23.5,17,20,85.0,7,20,27,21,13,10,2,23,-10,
ATL,ATL @ PHO,08/16/2019,L,40,68,26,67,38.8,6,22,27.3,10,14,71.4,11,24,35,12,13,6,3,23,-9,
PHO,PHO vs. CON,08/14/2019,L,40,71,22,57,38.6,1,15,6.7,26,32,81.3,9,23,32,12,20,7,0,23,-7,
SEA,SEA @ WAS,08/14/2019,L,40,59,21,60,35.0,7,26,26.9,10,11,90.9,9,18,27,12,19,6,4,15,-29,
DAL,DAL vs. LAS,08/14/2019,W,40,84,30,64,46.9,10,17,58.8,14,19,73.7,12,25,37,10,20,11,3,20,6,
CON,CON @ PHO,08/14/2019,W,40,78,30,67,44.8,7,24,29.2,11,23,47.8,13,22,35,17,16,6,5,25,7,
LAS,LAS @ DAL,08/14/2019,L,40,78,30,68,44.1,5,18,27.8,13,14,92.9,4,23,27,16,15,6,4,19,-6,
WAS,WAS vs. SEA,08/14/2019,W,40,88,29,57,50.9,9,17,52.9,21,21,100,5,26,31,20,14,10,3,12,29,
LVA,LVA vs. ATL,08/13/2019,W,40,94,30,66,45.5,9,15,60.0,25,32,78.1,12,30,42,24,13,9,4,16,4,
NYL,NYL vs. MIN,08/13/2019,L,40,73,29,66,43.9,8,18,44.4,7,13,53.8,8,27,35,19,19,5,2,23,-16,
MIN,MIN @ NYL,08/13/2019,W,40,89,33,64,51.6,6,21,28.6,17,26,65.4,7,24,31,21,14,10,4,16,16,
ATL,ATL @ LVA,08/13/2019,L,40,90,32,76,42.1,9,30,30.0,17,21,81.0,10,26,36,24,11,7,7,23,-4,
CHI,CHI @ LAS,08/11/2019,L,40,81,28,65,43.1,6,24,25.0,19,25,76.0,11,24,35,12,25,16,5,27,-3,
NYL,NYL vs. SEA,08/11/2019,L,40,69,27,64,42.2,6,24,25.0,9,12,75.0,11,20,31,18,19,7,2,24,-15,
MIN,MIN @ WAS,08/11/2019,L,40,78,31,65,47.7,6,17,35.3,10,13,76.9,7,15,22,20,18,7,3,23,-23,
SEA,SEA @ NYL,08/11/2019,W,40,84,32,67,47.8,7,14,50.0,13,21,61.9,12,20,32,24,12,10,3,13,15,
LAS,LAS vs. CHI,08/11/2019,W,40,84,32,70,45.7,7,20,35.0,13,15,86.7,8,25,33,18,23,10,1,20,3,
LVA,LVA vs. CON,08/11/2019,W,40,89,33,72,45.8,8,21,38.1,15,17,88.2,11,29,40,24,17,3,3,15,8,
CON,CON @ LVA,08/11/2019,L,40,81,32,81,39.5,9,27,33.3,8,8,100,11,22,33,19,10,9,6,19,-8,
