MIN,MIN @ SAC,09/13/2009,L,40,66,21,79,26.6,10,32,31.3,14,18,77.8,18,20,38,13,15,12,6,17,-22,
LAS,LAS @ PHO,09/13/2009,W,40,81,32,77,41.6,5,19,26.3,12,14,85.7,18,25,43,13,19,6,4,22,3,
IND,IND @ CON,09/13/2009,L,40,85,29,70,41.4,5,15,33.3,22,24,91.7,11,13,24,19,15,10,1,25,-10,
WAS,WAS @ NYL,09/13/2009,L,40,65,20,58,34.5,5,9,55.6,20,29,69.0,11,22,33,11,16,9,3,15,-21,
CON,CON vs. IND,09/13/2009,W,40,95,36,61,59.0,3,11,27.3,20,31,64.5,10,26,36,29,17,9,5,20,10,
NYL,NYL vs. WAS,09/13/2009,W,40,86,31,60,51.7,9,18,50.0,15,18,83.3,7,28,35,17,15,11,8,21,21,
SAC,SAC vs. MIN,09/13/2009,W,40,88,37,74,50.0,7,12,58.3,7,10,70.0,15,36,51,23,19,7,6,15,22,
PHO,PHO vs. LAS,09/13/2009,L,40,78,22,66,33.3,8,24,33.3,26,29,89.7,11,18,29,14,14,10,3,17,-3,
DET,DET @ CHI,09/12/2009,W,40,80,29,75,38.7,6,24,25.0,16,19,84.2,18,28,46,12,10,5,5,19,11,
SEA,SEA @ SAN,09/12/2009,W,40,64,22,61,36.1,6,19,31.6,14,20,70.0,16,23,39,13,17,17,7,19,9,
SAN,SAN vs. SEA,09/12/2009,L,40,55,20,54,37.0,9,20,45.0,6,10,60.0,6,19,25,15,20,6,2,19,-9,
ATL,ATL @ WAS,09/12/2009,L,40,64,27,73,37.0,4,18,22.2,6,10,60.0,15,25,40,16,22,6,4,25,-18,
WAS,WAS vs. ATL,09/12/2009,W,40,82,31,69,44.9,6,13,46.2,14,27,51.9,14,23,37,15,13,18,5,15,18,
CHI,CHI vs. DET,09/12/2009,L,40,69,25,63,39.7,4,9,44.4,15,20,75.0,6,21,27,15,13,7,1,17,-11,
ATL,ATL vs. CON,09/11/2009,W,40,88,34,75,45.3,4,14,28.6,16,19,84.2,12,35,47,20,17,9,5,20,24,
MIN,MIN @ LAS,09/11/2009,L,40,61,21,71,29.6,2,20,10.0,17,18,94.4,14,21,35,13,16,8,0,18,-29,
LAS,LAS vs. MIN,09/11/2009,W,40,90,36,66,54.5,9,20,45.0,9,12,75.0,8,26,34,25,11,9,6,13,29,
CON,CON @ ATL,09/11/2009,L,40,64,21,71,29.6,2,15,13.3,20,22,90.9,10,25,35,11,15,10,4,20,-24,
PHO,PHO @ SEA,09/10/2009,W,45,92,29,75,38.7,8,27,29.6,26,29,89.7,11,26,37,19,16,14,3,22,8,
NYL,NYL @ DET,09/10/2009,L,45,87,32,68,47.1,12,27,44.4,11,15,73.3,5,17,22,18,15,14,1,18,-7,
IND,IND @ CHI,09/10/2009,L,40,79,28,71,39.4,8,20,40.0,15,18,83.3,11,22,33,18,18,11,0,20,-7,
DET,DET vs. NYL,09/10/2009,W,45,94,32,63,50.8,10,23,43.5,20,23,87.0,10,29,39,25,20,7,3,17,7,
SAN,SAN @ SAC,09/10/2009,W,40,80,29,60,48.3,11,20,55.0,11,12,91.7,7,20,27,21,21,7,2,21,9,
CHI,CHI vs. IND,09/10/2009,W,40,86,30,66,45.5,5,9,55.6,21,26,80.8,12,30,42,17,22,8,5,19,7,
SAC,SAC vs. SAN,09/10/2009,L,40,71,27,64,42.2,0,6,0.0,17,24,70.8,11,20,31,13,16,13,2,16,-9,
SEA,SEA vs. PHO,09/10/2009,L,45,84,30,71,42.3,3,10,30.0,21,28,75.0,13,32,45,12,24,7,6,20,-8,
DET,DET @ MIN,09/09/2009,L,40,72,28,71,39.4,6,12,50.0,10,18,55.6,14,29,43,22,18,6,5,23,-3,
MIN,MIN vs. DET,09/09/2009,W,40,75,23,63,36.5,9,23,39.1,20,27,74.1,5,22,27,10,11,8,4,22,3,
LAS,LAS vs. SAN,09/08/2009,W,40,76,30,60,50.0,2,9,22.2,14,15,93.3,8,23,31,19,14,8,7,14,8,
SAN,SAN @ LAS,09/08/2009,L,40,68,25,56,44.6,7,15,46.7,11,12,91.7,4,17,21,19,18,8,3,13,-8,
NYL,NYL vs. IND,09/08/2009,L,40,63,25,62,40.3,5,22,22.7,8,12,66.7,5,28,33,16,18,11,1,8,-6,
IND,IND @ NYL,09/08/2009,W,40,69,27,63,42.9,6,18,33.3,9,9,100,6,25,31,12,15,14,2,14,6,
WAS,WAS @ IND,09/06/2009,L,40,61,22,76,28.9,5,16,31.3,12,15,80.0,24,22,46,11,18,9,5,22,-11,
CHI,CHI @ DET,09/06/2009,L,40,75,23,61,37.7,6,17,35.3,23,32,71.9,11,21,32,11,21,5,2,22,-9,
IND,IND vs. WAS,09/06/2009,W,40,72,25,64,39.1,3,12,25.0,19,26,73.1,12,25,37,13,14,15,5,20,11,
DET,DET vs. CHI,09/06/2009,W,40,84,29,69,42.0,3,9,33.3,23,29,79.3,10,25,35,19,14,11,3,21,9,
SAN,SAN vs. LAS,09/05/2009,W,40,89,33,61,54.1,13,21,61.9,10,11,90.9,7,11,18,30,6,10,3,14,17,
LAS,LAS @ SAN,09/05/2009,L,40,72,31,56,55.4,4,13,30.8,6,7,85.7,8,18,26,20,17,4,2,12,-17,
MIN,MIN vs. SEA,09/05/2009,W,40,76,25,53,47.2,6,19,31.6,20,22,90.9,5,26,31,14,18,7,2,18,8,
ATL,ATL @ PHO,09/05/2009,L,40,82,33,80,41.3,5,15,33.3,11,15,73.3,15,21,36,16,14,2,7,16,-18,
PHO,PHO vs. ATL,09/05/2009,W,40,100,42,84,50.0,4,20,20.0,12,14,85.7,10,29,39,25,7,7,5,14,18,
SEA,SEA @ MIN,09/05/2009,L,40,68,27,61,44.3,2,10,20.0,12,17,70.6,6,21,27,11,16,8,4,21,-8,
IND,IND @ DET,09/04/2009,L,45,63,22,81,27.2,5,28,17.9,14,20,70.0,19,31,50,15,19,10,5,23,-7,
ATL,ATL @ SAC,09/04/2009,W,40,98,45,70,64.3,1,5,20.0,7,9,77.8,10,21,31,32,18,4,3,19,8,
SAC,SAC vs. ATL,09/04/2009,L,40,90,36,75,48.0,5,10,50.0,13,15,86.7,9,15,24,21,15,12,1,13,-8,
DET,DET vs. IND,09/04/2009,W,45,70,26,65,40.0,2,10,20.0,16,23,69.6,6,33,39,12,15,11,4,23,7,
CHI,CHI vs. WAS,09/04/2009,W,40,92,31,70,44.3,2,8,25.0,28,32,87.5,14,23,37,18,8,8,3,29,6,
WAS,WAS @ CHI,09/04/2009,L,40,86,27,63,42.9,4,11,36.4,28,36,77.8,14,21,35,11,15,4,3,25,-6,
NYL,NYL @ CON,09/04/2009,L,45,85,31,73,42.5,9,25,36.0,14,17,82.4,7,29,36,16,16,9,3,20,-3,
CON,CON vs. NYL,09/04/2009,W,45,88,29,74,39.2,11,29,37.9,19,21,90.5,10,28,38,20,14,4,3,19,3,
SEA,SEA @ WAS,09/03/2009,L,40,67,23,58,39.7,3,11,27.3,18,25,72.0,8,23,31,11,24,11,6,31,-11,
WAS,WAS vs. SEA,09/03/2009,W,40,78,25,57,43.9,6,14,42.9,22,38,57.9,11,30,41,14,21,10,7,23,11,
IND,IND vs. PHO,09/02/2009,L,40,90,28,66,42.4,4,18,22.2,30,38,78.9,10,19,29,14,14,8,3,19,-16,
PHO,PHO @ IND,09/02/2009,W,40,106,41,70,58.6,10,18,55.6,14,16,87.5,5,25,30,19,18,6,3,27,16,
MIN,MIN @ SAN,09/01/2009,L,50,82,26,80,32.5,9,27,33.3,21,28,75.0,14,28,42,11,13,12,0,20,-2,
SEA,SEA @ NYL,09/01/2009,W,40,65,19,51,37.3,3,10,30.0,24,29,82.8,13,27,40,8,20,7,6,17,7,
CON,CON @ SAC,09/01/2009,L,40,70,26,72,36.1,10,24,41.7,8,10,80.0,8,19,27,17,17,7,5,19,-20,
SAN,SAN vs. MIN,09/01/2009,W,50,84,32,63,50.8,6,15,40.0,14,20,70.0,3,32,35,18,20,3,6,21,2,
SAC,SAC vs. CON,09/01/2009,W,40,90,34,61,55.7,3,7,42.9,19,22,86.4,8,29,37,23,17,10,4,13,20,
NYL,NYL vs. SEA,09/01/2009,L,40,58,23,68,33.8,7,27,25.9,5,7,71.4,11,18,29,16,17,5,3,25,-7,
LAS,LAS vs. ATL,09/01/2009,L,40,79,34,74,45.9,4,13,30.8,7,10,70.0,10,33,43,20,16,5,8,21,-5,
ATL,ATL @ LAS,09/01/2009,W,40,84,29,77,37.7,6,20,30.0,20,28,71.4,12,25,37,15,7,10,4,15,5,
PHO,PHO @ DET,09/01/2009,L,40,99,34,73,46.6,10,23,43.5,21,23,91.3,9,29,38,22,19,7,6,20,-2,
DET,DET vs. PHO,09/01/2009,W,40,101,42,82,51.2,6,17,35.3,11,16,68.8,8,23,31,24,10,11,4,19,2,
LAS,LAS vs. CON,08/30/2009,W,40,91,35,80,43.8,5,16,31.3,16,16,100,12,30,42,26,14,7,9,13,10,
WAS,WAS vs. MIN,08/30/2009,W,40,81,28,62,45.2,4,11,36.4,21,28,75.0,12,23,35,13,19,10,5,18,6,
MIN,MIN @ WAS,08/30/2009,L,40,75,26,62,41.9,6,19,31.6,17,21,81.0,5,18,23,12,16,9,4,25,-6,
NYL,NYL vs. CHI,08/30/2009,W,40,77,27,62,43.5,8,21,38.1,15,20,75.0,14,28,42,17,18,7,3,12,14,
CON,CON @ LAS,08/30/2009,L,40,81,29,80,36.3,11,26,42.3,12,17,70.6,15,20,35,17,11,7,5,14,-10,
CHI,CHI @ NYL,08/30/2009,L,40,63,26,64,40.6,7,22,31.8,4,6,66.7,10,22,32,17,18,7,1,19,-14,
CON,CON @ PHO,08/29/2009,L,40,84,28,80,35.0,7,19,36.8,21,25,84.0,9,32,41,14,13,7,3,27,-11,
IND,IND vs. SAC,08/29/2009,L,40,78,26,64,40.6,5,20,25.0,21,26,80.8,7,23,30,13,19,9,3,26,-1,
DET,DET @ SAN,08/29/2009,L,45,88,33,74,44.6,9,20,45.0,13,15,86.7,9,19,28,18,15,8,5,25,-12,
PHO,PHO vs. CON,08/29/2009,W,40,95,29,72,40.3,4,16,25.0,33,40,82.5,8,35,43,15,13,7,4,20,11,
SAC,SAC @ IND,08/29/2009,W,40,79,25,62,40.3,3,13,23.1,26,30,86.7,13,27,40,9,20,6,2,27,1,
SEA,SEA vs. ATL,08/29/2009,W,50,91,37,83,44.6,4,13,30.8,13,15,86.7,11,30,41,21,28,10,7,24,7,
ATL,ATL @ SEA,08/29/2009,L,50,84,35,87,40.2,0,9,0.0,14,21,66.7,16,25,41,15,20,21,7,19,-7,
SAN,SAN vs. DET,08/29/2009,W,45,100,35,72,48.6,9,23,39.1,21,26,80.8,12,27,39,23,15,4,3,18,12,
NYL,NYL @ CHI,08/28/2009,L,40,77,28,61,45.9,6,19,31.6,15,19,78.9,9,22,31,17,20,5,2,27,-19,
CHI,CHI vs. NYL,08/28/2009,W,40,96,27,60,45.0,9,18,50.0,33,38,86.8,10,16,26,15,8,11,5,17,19,
MIN,MIN vs. SAC,08/28/2009,W,40,100,33,63,52.4,16,28,57.1,18,21,85.7,4,18,22,24,16,6,1,21,5,
SAC,SAC @ MIN,08/28/2009,L,40,95,36,66,54.5,2,11,18.2,21,25,84.0,8,23,31,23,17,13,4,24,-5,
CON,CON @ SEA,08/27/2009,L,40,74,29,73,39.7,6,26,23.1,10,13,76.9,12,19,31,17,10,6,2,20,-12,
DET,DET vs. ATL,08/27/2009,W,40,87,29,76,38.2,4,9,44.4,25,30,83.3,18,25,43,14,18,12,5,21,4,
LAS,LAS vs. PHO,08/27/2009,L,40,90,32,77,41.6,8,25,32.0,18,23,78.3,10,20,30,28,12,7,6,22,-8,
PHO,PHO @ LAS,08/27/2009,W,40,98,33,73,45.2,9,22,40.9,23,29,79.3,13,29,42,17,16,8,4,22,8,
IND,IND vs. SAN,08/27/2009,W,40,77,31,76,40.8,6,17,35.3,9,10,90.0,12,21,33,13,12,13,0,22,11,
SEA,SEA vs. CON,08/27/2009,W,40,86,28,56,50.0,5,14,35.7,25,28,89.3,7,27,34,14,14,8,6,17,12,
SAN,SAN @ IND,08/27/2009,L,40,66,23,48,47.9,8,23,34.8,12,20,60.0,3,27,30,18,23,7,6,14,-11,
ATL,ATL @ DET,08/27/2009,L,40,83,29,69,42.0,6,13,46.2,19,26,73.1,14,25,39,15,23,9,3,23,-4,
SAC,SAC @ ATL,08/25/2009,L,40,83,28,70,40.0,2,9,22.2,25,33,75.8,11,19,30,21,18,9,5,21,-20,
LAS,LAS vs. CHI,08/25/2009,W,40,75,32,60,53.3,2,7,28.6,9,11,81.8,7,30,37,17,16,5,5,11,12,
DET,DET @ CON,08/25/2009,W,40,90,33,60,55.0,8,11,72.7,16,20,80.0,7,30,37,24,22,11,1,25,20,
ATL,ATL vs. SAC,08/25/2009,W,40,103,40,72,55.6,7,13,53.8,16,21,76.2,9,23,32,25,17,9,1,23,20,
SEA,SEA vs. WAS,08/25/2009,W,40,78,26,58,44.8,9,18,50.0,17,22,77.3,9,23,32,18,19,14,7,26,10,
CHI,CHI @ LAS,08/25/2009,L,40,63,22,65,33.8,5,19,26.3,14,18,77.8,8,16,24,14,11,8,7,16,-12,
WAS,WAS @ SEA,08/25/2009,L,40,68,22,60,36.7,5,13,38.5,19,31,61.3,12,23,35,9,20,15,5,21,-10,
CON,CON vs. DET,08/25/2009,L,40,70,26,59,44.1,4,13,30.8,14,24,58.3,6,20,26,18,18,11,3,22,-20,
NYL,NYL vs. MIN,08/23/2009,W,40,80,27,52,51.9,6,14,42.9,20,22,90.9,8,30,38,15,19,4,1,13,13,
MIN,MIN @ NYL,08/23/2009,L,40,67,23,68,33.8,3,20,15.0,18,19,94.7,11,16,27,11,10,14,3,20,-13,
SAN,SAN @ DET,08/23/2009,L,40,84,28,63,44.4,7,25,28.0,21,23,91.3,7,17,24,19,15,5,0,26,-15,
LAS,LAS @ ATL,08/23/2009,W,40,91,33,69,47.8,4,11,36.4,21,25,84.0,11,31,42,23,19,9,6,17,4,
DET,DET vs. SAN,08/23/2009,W,40,99,35,61,57.4,10,17,58.8,19,27,70.4,5,24,29,22,12,6,3,27,15,
ATL,ATL vs. LAS,08/23/2009,L,40,87,33,82,40.2,9,22,40.9,12,17,70.6,10,21,31,14,12,12,4,24,-4,
IND,IND @ SEA,08/22/2009,L,40,60,22,59,37.3,4,19,21.1,12,13,92.3,6,25,31,16,16,9,4,23,-14,
CON,CON vs. MIN,08/22/2009,W,40,98,32,68,47.1,5,11,45.5,29,36,80.6,14,21,35,20,14,7,6,18,4,
DET,DET @ CHI,08/22/2009,W,40,76,29,66,43.9,7,17,41.2,11,20,55.0,9,25,34,20,10,6,6,19,9,
MIN,MIN @ CON,08/22/2009,L,40,94,32,66,48.5,9,20,45.0,21,26,80.8,8,20,28,23,14,9,4,28,-4,
SAC,SAC vs. WAS,08/22/2009,W,40,82,28,70,40.0,3,8,37.5,23,29,79.3,18,24,42,12,21,9,7,22,22,
WAS,WAS @ SAC,08/22/2009,L,40,60,21,59,35.6,0,9,0.0,18,25,72.0,12,20,32,6,24,9,3,28,-22,
SEA,SEA vs. IND,08/22/2009,W,40,74,23,61,37.7,4,18,22.2,24,27,88.9,12,26,38,16,13,6,3,16,14,
CHI,CHI vs. DET,08/22/2009,L,40,67,23,65,35.4,3,20,15.0,18,24,75.0,11,25,36,17,13,7,4,17,-9,
PHO,PHO vs. WAS,08/21/2009,L,40,81,32,73,43.8,7,19,36.8,10,15,66.7,8,18,26,14,17,11,9,19,-10,
CON,CON @ NYL,08/21/2009,L,45,83,32,83,38.6,10,30,33.3,9,12,75.0,13,35,48,19,14,5,7,24,-2,
WAS,WAS @ PHO,08/21/2009,W,40,91,34,72,47.2,6,16,37.5,17,21,81.0,14,32,46,14,23,10,2,19,10,
LAS,LAS @ SAN,08/21/2009,W,45,67,21,68,30.9,6,20,30.0,19,26,73.1,18,31,49,15,20,5,6,18,1,
NYL,NYL vs. CON,08/21/2009,W,45,85,28,72,38.9,6,14,42.9,23,29,79.3,10,30,40,16,10,6,6,14,2,
SAN,SAN vs. LAS,08/21/2009,L,45,66,23,67,34.3,5,18,27.8,15,17,88.2,7,23,30,17,12,10,0,26,-1,
ATL,ATL vs. SAN,08/20/2009,W,40,93,33,74,44.6,2,10,20.0,25,36,69.4,17,26,43,18,10,6,3,22,6,
IND,IND @ SAC,08/20/2009,L,40,62,23,59,39.0,4,14,28.6,12,13,92.3,8,24,32,12,24,13,5,23,-5,
SAC,SAC vs. IND,08/20/2009,W,40,67,24,61,39.3,1,7,14.3,18,23,78.3,12,24,36,15,21,11,2,15,5,
SAN,SAN @ ATL,08/20/2009,L,40,87,32,71,45.1,5,22,22.7,18,22,81.8,8,28,36,17,13,8,1,26,-6,
LAS,LAS vs. MIN,08/19/2009,W,40,78,32,69,46.4,6,22,27.3,8,11,72.7,10,26,36,26,13,6,7,15,15,
MIN,MIN @ LAS,08/19/2009,L,40,63,24,70,34.3,8,27,29.6,7,11,63.6,12,22,34,14,16,6,2,11,-15,
CON,CON vs. NYL,08/19/2009,W,40,74,25,57,43.9,4,11,36.4,20,27,74.1,5,30,35,19,17,8,8,12,5,
NYL,NYL @ CON,08/19/2009,L,40,69,28,69,40.6,6,19,31.6,7,9,77.8,7,27,34,17,17,8,1,20,-5,
WAS,WAS @ LAS,08/18/2009,L,40,69,27,72,37.5,3,11,27.3,12,17,70.6,9,16,25,8,12,9,1,27,-3,
CHI,CHI vs. PHO,08/18/2009,L,40,99,36,78,46.2,11,18,61.1,16,22,72.7,7,19,26,21,8,7,7,18,-7,
SEA,SEA @ DET,08/18/2009,W,40,79,25,56,44.6,6,14,42.9,23,26,88.5,5,23,28,22,16,5,3,25,4,
PHO,PHO @ CHI,08/18/2009,W,40,106,41,72,56.9,8,15,53.3,16,18,88.9,6,35,41,26,18,6,6,21,7,
LAS,LAS vs. WAS,08/18/2009,W,40,72,25,58,43.1,1,9,11.1,21,26,80.8,8,27,35,17,17,6,9,17,3,
DET,DET vs. SEA,08/18/2009,L,40,75,28,62,45.2,1,13,7.7,18,22,81.8,4,22,26,17,13,4,1,22,-4,
WAS,WAS vs. NYL,08/16/2009,L,40,59,24,61,39.3,2,11,18.2,9,18,50.0,7,25,32,16,15,8,4,17,-1,
NYL,NYL @ WAS,08/16/2009,W,40,60,20,54,37.0,7,18,38.9,13,15,86.7,5,29,34,11,20,7,4,20,1,
ATL,ATL vs. SEA,08/15/2009,W,40,88,36,77,46.8,4,10,40.0,12,17,70.6,14,21,35,16,18,12,3,19,9,
DET,DET @ IND,08/15/2009,L,40,59,23,54,42.6,3,7,42.9,10,16,62.5,10,24,34,14,24,8,1,23,-23,
LAS,LAS @ SAC,08/15/2009,W,40,78,30,53,56.6,6,16,37.5,12,16,75.0,5,28,33,20,22,6,5,15,17,
SAN,SAN vs. PHO,08/15/2009,W,40,106,35,71,49.3,8,25,32.0,28,32,87.5,11,23,34,24,9,13,1,12,17,
MIN,MIN @ CHI,08/15/2009,L,40,76,26,66,39.4,12,33,36.4,12,15,80.0,9,23,32,22,15,12,5,22,-3,
SEA,SEA @ ATL,08/15/2009,L,40,79,31,61,50.8,4,14,28.6,13,18,72.2,4,22,26,23,20,13,1,20,-9,
SAC,SAC vs. LAS,08/15/2009,L,40,61,23,59,39.0,2,17,11.8,13,19,68.4,7,16,23,15,15,13,0,16,-17,
IND,IND vs. DET,08/15/2009,W,40,82,27,60,45.0,10,24,41.7,18,23,78.3,9,21,30,15,16,12,1,20,23,
CHI,CHI vs. MIN,08/15/2009,W,40,79,29,63,46.0,3,11,27.3,18,24,75.0,9,27,36,22,17,5,4,13,3,
PHO,PHO @ SAN,08/15/2009,L,40,89,34,64,53.1,11,21,52.4,10,13,76.9,6,22,28,17,19,4,5,24,-17,
SAC,SAC @ LAS,08/14/2009,W,40,85,33,62,53.2,5,12,41.7,14,16,87.5,3,23,26,22,10,7,1,19,6,
CON,CON @ WAS,08/14/2009,L,50,89,35,84,41.7,3,22,13.6,16,23,69.6,15,20,35,17,17,6,4,29,-2,
NYL,NYL vs. CHI,08/14/2009,L,40,77,28,68,41.2,8,24,33.3,13,19,68.4,14,20,34,17,11,4,2,18,-11,
CHI,CHI @ NYL,08/14/2009,W,40,88,31,58,53.4,6,11,54.5,20,23,87.0,5,25,30,13,10,5,2,18,11,
WAS,WAS vs. CON,08/14/2009,W,50,91,33,75,44.0,0,8,0.0,25,28,89.3,9,34,43,17,19,5,6,23,2,
LAS,LAS vs. SAC,08/14/2009,L,40,79,28,67,41.8,4,16,25.0,19,20,95.0,11,23,34,19,13,5,4,13,-6,
IND,IND @ MIN,08/13/2009,W,40,91,32,69,46.4,8,18,44.4,19,24,79.2,6,26,32,20,11,13,2,19,10,
SAN,SAN @ PHO,08/13/2009,L,40,83,33,81,40.7,6,27,22.2,11,16,68.8,16,27,43,20,12,4,2,23,-12,
