CLE,CLE @ NYL,08/24/1997,L,45,72,25,56,44.6,1,5,20.0,21,26,80.8,10,11,21,16,17,8,2,22,-7,
SAC,SAC @ HOU,08/24/1997,W,40,68,26,64,40.6,3,12,25.0,13,19,68.4,16,23,39,11,18,10,2,22,10,
CHA,CHA vs. UTA,08/24/1997,W,40,70,27,61,44.3,6,16,37.5,10,13,76.9,8,29,37,20,13,6,5,12,18,
UTA,UTA @ CHA,08/24/1997,L,40,52,20,67,29.9,2,12,16.7,10,14,71.4,15,23,38,12,15,6,2,16,-18,
PHO,PHO vs. LAS,08/24/1997,W,45,73,26,71,36.6,3,12,25.0,18,24,75.0,15,26,41,20,18,17,2,16,5,
HOU,HOU vs. SAC,08/24/1997,L,40,58,21,65,32.3,1,17,5.9,15,22,68.2,14,19,33,10,17,11,2,21,-10,
NYL,NYL vs. CLE,08/24/1997,W,45,79,31,58,53.4,4,11,36.4,13,14,92.9,11,17,28,23,21,10,2,23,7,
LAS,LAS @ PHO,08/24/1997,L,45,68,28,60,46.7,4,12,33.3,8,13,61.5,5,26,31,8,22,10,5,24,-5,
CLE,CLE vs. NYL,08/23/1997,W,40,72,29,62,46.8,6,9,66.7,8,12,66.7,10,19,29,17,15,12,5,18,1,
NYL,NYL @ CLE,08/23/1997,L,40,71,28,58,48.3,4,10,40.0,11,16,68.8,12,18,30,18,14,9,6,18,-1,
SAC,SAC @ LAS,08/22/1997,L,40,77,29,84,34.5,4,15,26.7,15,21,71.4,17,19,36,16,15,16,4,23,-11,
CHA,CHA @ PHO,08/22/1997,L,40,63,27,53,50.9,5,13,38.5,4,8,50.0,7,16,23,19,23,7,3,17,-15,
PHO,PHO vs. CHA,08/22/1997,W,40,78,28,53,52.8,6,11,54.5,16,17,94.1,5,19,24,23,21,14,2,12,15,
LAS,LAS vs. SAC,08/22/1997,W,40,88,35,60,58.3,0,2,0.0,18,26,69.2,7,30,37,24,23,11,4,20,11,
HOU,HOU vs. CLE,08/21/1997,L,40,75,26,59,44.1,9,22,40.9,14,20,70.0,13,15,28,13,14,8,0,20,-1,
UTA,UTA vs. CHA,08/21/1997,L,40,56,21,72,29.2,7,25,28.0,7,10,70.0,15,28,43,15,11,9,5,13,-10,
CHA,CHA @ UTA,08/21/1997,W,40,66,25,60,41.7,5,12,41.7,11,14,78.6,6,29,35,16,12,7,7,14,10,
CLE,CLE @ HOU,08/21/1997,W,40,76,29,52,55.8,3,5,60.0,15,22,68.2,5,19,24,9,15,7,0,20,1,
SAC,SAC vs. PHO,08/20/1997,L,40,54,24,54,44.4,2,9,22.2,4,10,40.0,8,15,23,16,24,6,2,29,-15,
NYL,NYL @ LAS,08/20/1997,L,40,76,32,62,51.6,1,5,20.0,11,14,78.6,6,19,25,26,16,9,3,19,-2,
LAS,LAS vs. NYL,08/20/1997,W,40,78,30,58,51.7,2,5,40.0,16,21,76.2,8,23,31,18,19,9,4,16,2,
PHO,PHO @ SAC,08/20/1997,W,40,69,20,44,45.5,5,11,45.5,24,30,80.0,6,17,23,17,22,16,0,17,15,
HOU,HOU vs. CHA,08/19/1997,W,40,77,25,60,41.7,9,24,37.5,18,22,81.8,15,19,34,13,11,8,2,14,8,
UTA,UTA vs. NYL,08/19/1997,W,40,81,26,58,44.8,4,9,44.4,25,32,78.1,9,28,37,16,14,6,4,20,6,
NYL,NYL @ UTA,08/19/1997,L,40,75,29,79,36.7,4,22,18.2,13,18,72.2,18,20,38,19,11,6,7,27,-6,
