Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,
CON,CON @ ATL,06/05/2018,L,40,77,30,82,36.6,7,32,21.9,10,14,71.4,13,34,47,21,16,6,6,26,-5,
PHO,PHO @ ATL,06/03/2018,W,40,78,28,60,46.7,6,24,25.0,16,18,88.9,7,27,34,24,19,9,6,19,7,
CHI,CHI vs. LVA,06/03/2018,W,40,95,28,72,38.9,7,21,33.3,32,38,84.2,12,28,40,20,14,7,5,18,5,
LAS,LAS vs. MIN,06/03/2018,W,40,77,32,62,51.6,3,13,23.1,10,12,83.3,4,21,25,18,13,6,1,16,8,
WAS,WAS vs. CON,06/03/2018,L,40,64,26,72,36.1,3,21,14.3,9,10,90.0,9,22,31,11,13,8,2,17,-24,
LVA,LVA @ CHI,06/03/2018,L,40,90,37,72,51.4,6,9,66.7,10,16,62.5,2,27,29,33,15,4,7,27,-5,
ATL,ATL vs. PHO,06/03/2018,L,40,71,26,76,34.2,5,19,26.3,14,22,63.6,16,22,38,11,13,6,5,18,-7,
MIN,MIN @ LAS,06/03/2018,L,40,69,26,55,47.3,5,14,35.7,12,20,60.0,5,26,31,12,18,5,1,17,-8,
CON,CON @ WAS,06/03/2018,W,40,88,34,73,46.6,10,26,38.5,10,18,55.6,14,31,45,14,15,6,2,17,24,
SEA,SEA @ DAL,06/02/2018,L,40,90,32,68,47.1,6,23,26.1,20,23,87.0,9,17,26,22,12,9,4,23,-4,
DAL,DAL vs. SEA,06/02/2018,W,40,94,32,63,50.8,4,16,25.0,26,33,78.8,12,24,36,16,16,8,3,21,4,
IND,IND vs. NYL,06/02/2018,L,45,81,31,79,39.2,7,23,30.4,12,18,66.7,10,23,33,17,10,6,1,28,-6,
NYL,NYL @ IND,06/02/2018,W,45,87,27,68,39.7,3,19,15.8,30,32,93.8,12,34,46,14,21,4,5,18,6,
CHI,CHI vs. CON,06/01/2018,L,40,72,23,60,38.3,5,12,41.7,21,25,84.0,4,20,24,15,23,5,3,22,-38,
CON,CON @ CHI,06/01/2018,W,40,110,42,82,51.2,8,25,32.0,18,23,78.3,18,31,49,25,16,15,9,25,38,
WAS,WAS @ LVA,06/01/2018,L,40,73,24,60,40.0,3,16,18.8,22,28,78.6,10,19,29,13,15,5,6,30,-12,
MIN,MIN vs. PHO,06/01/2018,L,40,85,31,67,46.3,8,16,50.0,15,20,75.0,8,23,31,18,13,4,1,23,-10,
